"Endpoint","Timepoint_years","Estimate_pct","CI_lower_pct","CI_upper_pct","N_at_risk","Formatted"
"RFS",0.5,85.7,33.4,97.9,6,"85.7% (95% CI 33.4-97.9)"
"RFS",1,71.4,25.8,92,5,"71.4% (95% CI 25.8-92.0)"
"RFS",2,71.4,25.8,92,5,"71.4% (95% CI 25.8-92.0)"
"RFS",3,71.4,25.8,92,4,"71.4% (95% CI 25.8-92.0)"
"RFS",4,71.4,25.8,92,3,"71.4% (95% CI 25.8-92.0)"
"RFS",5,71.4,25.8,92,1,"71.4% (95% CI 25.8-92.0)"
"OS",0.5,100,100,100,7,"100.0% (95% CI 100.0-100.0)"
"OS",1,85.7,33.4,97.9,6,"85.7% (95% CI 33.4-97.9)"
"OS",2,85.7,33.4,97.9,6,"85.7% (95% CI 33.4-97.9)"
"OS",3,85.7,33.4,97.9,5,"85.7% (95% CI 33.4-97.9)"
"OS",4,85.7,33.4,97.9,4,"85.7% (95% CI 33.4-97.9)"
"OS",5,85.7,33.4,97.9,4,"85.7% (95% CI 33.4-97.9)"
