"Metric","Value"
"Total patients (n)","7"
"Recurrence events","2"
"Death events","1"
"Median follow-up (months)","60.8"
"Follow-up Q1 (months)","33.9"
"Follow-up Q3 (months)","62.3"
"Follow-up min (months)","7.3"
"Follow-up max (months)","70.1"
"Patients survived >= 1 year","6"
"Patients survived >= 2 years","6"
"Patients survived >= 3 years","5"
"Patients survived >= 4 years","4"
"Patients survived >= 5 years","4"
"Median RFS (years)","NR"
"Median OS (years)","NR"
"6-month RFS (%)","85.7 (95% CI: 33.4-97.9)"
"1-year RFS (%)","71.4 (95% CI: 25.8-92.0)"
"2-year RFS (%)","71.4 (95% CI: 25.8-92.0)"
"3-year RFS (%)","71.4 (95% CI: 25.8-92.0)"
"4-year RFS (%)","71.4 (95% CI: 25.8-92.0)"
"5-year RFS (%)","71.4 (95% CI: 25.8-92.0)"
"6-month OS (%)","100.0 (95% CI: 100.0-100.0)"
"1-year OS (%)","85.7 (95% CI: 33.4-97.9)"
"2-year OS (%)","85.7 (95% CI: 33.4-97.9)"
"3-year OS (%)","85.7 (95% CI: 33.4-97.9)"
"4-year OS (%)","85.7 (95% CI: 33.4-97.9)"
"5-year OS (%)","85.7 (95% CI: 33.4-97.9)"
